block,variable
cbc,cbcl_scr_syn_anxdep_t
cbc,cbcl_scr_syn_withdep_t
cbc,cbcl_scr_syn_somatic_t
cbc,cbcl_scr_syn_social_t
cbc,cbcl_scr_syn_thought_t
cbc,cbcl_scr_syn_attention_t
cbc,cbcl_scr_syn_rulebreak_t
cbc,cbcl_scr_syn_aggressive_t
cbc,cbcl_scr_syn_internal_t
cbc,cbcl_scr_syn_external_t
cbc,cbcl_scr_syn_totprob_t
cog,nihtbx_picvocab_agecorrected
cog,nihtbx_flanker_agecorrected
cog,nihtbx_list_agecorrected
cog,nihtbx_cardsort_agecorrected
cog,nihtbx_pattern_agecorrected
cog,nihtbx_picture_agecorrected
cog,nihtbx_reading_agecorrected
cog,nihtbx_fluidcomp_agecorrected
cog,nihtbx_cryst_agecorrected
cog,nihtbx_totalcomp_agecorrected
cog,pea_ravlt_sd_trial_vi_tc
cog,pea_ravlt_ld_trial_vii_tc
cog,pea_wiscv_tss
soc,fes_ss_fc_p
soc,fes_y_ss_fc
soc,crpbi_ss_studycaregiver
soc,crpbi_y_ss_caregiver
soc,prosocial_ss_mean_p
soc,prosocial_ss_mean_y
soc,pmq_y_ss_mean
sma,screentime_wkdy_1
sma,screentime_wkdy_2
sma,screentime_wkdy_3
sma,screentime_wkdy_4
sma,screentime_wkdy_5
sma,screentime_wkdy_6
sma,screentime_wknd_7
sma,screentime_wknd_8
sma,screentime_wknd_9
sma,screentime_wknd_10
sma,screentime_wknd_11
sma,screentime_wknd_12
